,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
207,Georgia State University,Southern,41800.0,74000.0,43000.0,55300.0,99900.0,145000.0,State
208,LeTourneau University,Southern,49500.0,73800.0,41200.0,52700.0,95200.0,126000.0,
209,Florida State University (FSU),Southern,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0,Party
210,Florida State University (FSU),Southern,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0,State
211,University of Texas at El Paso (UTEP),Southern,43400.0,72100.0,37700.0,50400.0,99500.0,133000.0,State
212,University of Central Florida (UCF),Southern,42600.0,71700.0,39500.0,51500.0,98400.0,125000.0,State
213,University of South Carolina,Southern,40000.0,71700.0,36300.0,49900.0,98400.0,131000.0,State
214,Florida Atlantic University (FAU),Southern,42600.0,71100.0,40700.0,53000.0,99500.0,137000.0,State
215,University of South Florida (USF),Southern,41100.0,71100.0,39600.0,51500.0,98100.0,131000.0,State
216,University of Texas at San Antonio (UTSA),Southern,42500.0,70700.0,39100.0,49800.0,92700.0,121000.0,State
217,University of Alabama at Birmingham (UAB),Southern,39200.0,70100.0,43000.0,53400.0,91400.0,125000.0,State
218,University of Memphis (U of M),Southern,41400.0,69700.0,36100.0,49100.0,93500.0,127000.0,State
219,Appalachian State University,Southern,40400.0,69100.0,37200.0,50400.0,90800.0,115000.0,State
220,Virginia Commonwealth University (VCU),Southern,42000.0,68400.0,37400.0,51900.0,100000.0,123000.0,State
221,East Carolina University (ECU),Southern,40200.0,67500.0,38400.0,52000.0,98700.0,151000.0,State
222,Western Carolina University,Southern,36900.0,66600.0,39000.0,49500.0,94400.0,133000.0,State
223,Jacksonville University,Southern,46700.0,66200.0,36700.0,47200.0,88500.0,121000.0,
224,University of North Carolina at Wilmington (UNCW),Southern,37500.0,64400.0,32100.0,46600.0,97100.0,129000.0,State
225,Oklahoma City University,Southern,40000.0,64300.0,,45400.0,80600.0,,
226,Arkansas State University (ASU),Southern,38700.0,63300.0,33600.0,45300.0,83900.0,118000.0,State
227,Tarleton State University (TSU),Southern,40800.0,62400.0,32100.0,47400.0,80400.0,126000.0,State
228,Morehead State University,Southern,34800.0,60600.0,34300.0,46500.0,72000.0,91300.0,State
229,Mississippi College,Southern,35400.0,60400.0,,43900.0,80400.0,,
230,Dallas Baptist University,Southern,39400.0,60200.0,38500.0,50300.0,81800.0,98100.0,
231,Austin Peay State University,Southern,37700.0,59200.0,32200.0,40500.0,73900.0,96200.0,State
232,Saint Leo University,Southern,40900.0,57800.0,34400.0,41800.0,80600.0,113000.0,
233,Tusculum College,Southern,36900.0,55500.0,36200.0,43000.0,87300.0,124000.0,
234,Virginia Wesleyan College (VWC),Southern,34600.0,54900.0,,37100.0,88900.0,,
235,"Lee University (Cleveland, TN)",Southern,34500.0,53900.0,,44500.0,76800.0,,
236,Florida Metropolitan University (FMU),Southern,36600.0,51000.0,32800.0,36800.0,70400.0,102000.0,
237,Dartmouth College,Northeastern,58000.0,134000.0,63100.0,90200.0,234000.0,321000.0,Ivy League
238,Princeton University,Northeastern,66500.0,131000.0,68900.0,100000.0,190000.0,261000.0,Ivy League
